acronym,location,lat,lon
beijing,beijing,39.904202,116.407394
shandong,shandong,36.395859,118.769882
houston,houston,29.760427,-95.369804
boston,boston,42.360081,-71.058884
cinqueterre,cinqueterre,44.098869,9.74082
h1,highway one,36.25288,-121.787354
ottawa,ottawa,45.421532,-75.697189
seattle,seattle,47.6038321, -122.3300624
florence,florence,43.7698712, 11.2555757
yosemite,yosemite,-33.6983333, 150.3177778
mountain,mountain view,37.3893889, -122.0832101
venice,venice,45.4371908, 12.3345898
la,los angeles,34.054935, -118.244476
paris,paris,30.1343921, 118.1612689
huangshan,huangshan,48.8566101, 2.3514992
shanghai,shanghai,43.1030928, -79.0302618
nf,niagara falls,31.2253441, 121.4888922
santacruz,santa cruz,45.4584604, 12.3529709985081
murano,murano,45.65713555, -78.4995386404528
algonquin,algonquin park,28.4597823, -16.2536378
tahoe,tahoe,46.0962876, -115.8070835
peggys,peggys cove,44.4937733, -63.9148632
versailles,versailles,45.2505449, -81.5879469
bruce,Bruce Peninsula,48.8035403, 2.1266886
hp,The Wizarding World Of Harry Potter,34.13817015, -118.353468287702
plaisance,plaisance,45.0534751, 9.6947461
victoria,victoria,48.428421,-123.365646
upei,prince edwards island,-36.5986096, 144.6780052
charlestown,charlestown,43.2387, -72.424622
toronto,toronto,43.653963, -79.387207
waterloo,waterloo,43.466874, -80.524635
missionpeak,mission peak,37.5125462, -121.8809081
waterloo,waterloo,43.466874, -80.524635
sandiego,san Diego,32.7174209, -117.1627714
us,universal studio los angeles,34.13778775, -118.361085331277
rome,rome,41.894802, 12.4853384
suzhou,suzhou,31.3016935, 120.5810725
wuxi,wuxi,31.5756347, 120.2954534
sf,san francisco,37.7792808, -122.4192363
montreal,montreal,45.4972159, -73.6103642
quebec,quebec,52.4760892, -71.8258668
