id, id2,Title,Author,Genre,Length,Published_Year,Revenue_in_million,Webpage_link,Image_link
0,0,One Piece,Eiichiro Oda,Shōnen,84,1997,406.0,http://mangapark.me/manga/one-piece,http://file-thumb.mpcdn.net/7299/19/180.jpg
1,1,Golgo 13,Takao Saito,Seinen,182,1968,280.0,http://mangapark.me/manga/golgo-13,http://file-thumb.mpcdn.net/3196/1/180.jpg
2,2,Dragon Ball,Akira Toriyama,Shōnen,42,1984,240.0,http://mangapark.me/manga/dragon-ball,http://file-thumb.mpcdn.net/2456/7/180.jpg
3,3,Naruto,Masashi Kishimoto,Shōnen,72,1999,220.0,http://mangapark.me/manga/naruto,http://file-thumb.mpcdn.net/6844/15/180.jpg
4,4,Kochira Katsushika-ku Kameari Kōen-mae Hashutsujo,Osamu Akimoto,Shōnen,200,1976,156.0,http://mangapark.me/manga/kochira-katsushikaku-kameari-kouenmae-hashutsujo,http://file-thumb.mpcdn.net/5207/2/180.jpg
5,5,Case Closed,Gosho Aoyama,Shōnen,91,1994,150.0,http://mangapark.me/manga/case-closed,http://file-thumb.mpcdn.net/17/13/180.jpg
6,6,Pokémon Adventures,Hidenori Kusaka,Shōnen,52,1997,150.0,http://mangapark.me/manga/pokemon-adventures,http://file-thumb.mpcdn.net/20807/1/180.jpg
7,7,Oishinbo,Tetsu Kariya,Seinen,111,1983,130.0,http://mangapark.me/manga/oishinbo,http://static.mangapark.me/img/no-cover.jpg
8,8,Slam Dunk,Takehiko Inoue,Shōnen,31,1990,120.0,http://mangapark.me/manga/slam-dunk,http://file-thumb.mpcdn.net/9243/2/180.jpg
9,9,Astro Boy,Osamu Tezuka,Shōnen,23,1952,100.0,http://mangapark.me/manga/astro-boy,http://file-thumb.mpcdn.net/28309/1/180.jpg
10,11,Fist of the North Star,Buronson,Shōnen,27,1983,100.0,http://mangapark.me/manga/fist-of-the-north-star,http://file-thumb.mpcdn.net/2744/1/180.jpg
11,13,Touch,Mitsuru Adachi,Shōnen,26,1981,100.0,http://mangapark.me/manga/touch,http://file-thumb.mpcdn.net/10404/1/180.jpg
12,14,Hajime no Ippo,George Morikawa,Shōnen,116,1989,94.0,http://mangapark.me/manga/hajime-no-ippo,http://file-thumb.mpcdn.net/3361/13/180.jpg
13,15,Kindaichi Case Files,Yōzaburō Kanari,Shōnen,70,1992,90.0,http://mangapark.me/manga/kindaichi-case-files,http://file-thumb.mpcdn.net/5055/1/180.jpg
14,16,Bleach,Tite Kubo,Shōnen,74,2001,87.0,http://mangapark.me/manga/bleach,http://file-thumb.mpcdn.net/1264/18/180.jpg
15,17,Sazae-san,Machiko Hasegawa,Josei,45,1946,86.0,http://mangapark.me/manga/sazae-san,http://static.mangapark.me/img/no-cover.jpg
16,18,Captain Tsubasa,Yōichi Takahashi,Shōnen,92,1981,82.0,http://mangapark.me/manga/captain-tsubasa,http://file-thumb.mpcdn.net/1594/1/180.jpg
17,19,Vagabond,Takehiko Inoue,Seinen,37,1998,82.0,http://mangapark.me/manga/vagabond,http://file-thumb.mpcdn.net/10808/2/180.jpg
