target,source,value,type
BlackBerry,IBM,-14,type3s
BlackBerry,Google,-44,type4s
BlackBerry,Microsoft,-70,type4s
BlackBerry,Amazon,-49,type4s
BlackBerry,Facebook,-42,type4s
BlackBerry,SAP,-2,type1s
BlackBerry,Desire2Learn,-8,type2s
BlackBerry,Pivotal Labs,4,type0
BlackBerry,NexJ Systems,1,type0
BlackBerry,TD,-2,type1s
BlackBerry,LinkedIn,-19,type4s
BlackBerry,Autodesk,-2,type1s
BlackBerry,Zynga,-2,type1s
BlackBerry,Genesys,-4,type1s
BlackBerry,Apple,-10,type2s
BlackBerry,OANDA,-4,type1s
BlackBerry,Yelp,-4,type1s
BlackBerry,OpenText,-23,type4s
BlackBerry,CIBC,-3,type1s
BlackBerry,Bloomberg,-4,type1s
BlackBerry,Sybase,-4,type1s
BlackBerry,Ontario Teachers' Pension Plan,5,type1
BlackBerry,"Kik Interactive, Inc.",3,type0
BlackBerry,Sun Life Financial,2,type0
BlackBerry,Agriculture and Agri-Food Canada,1,type0
BlackBerry,Sunnybrook Health Sciences Centre,1,type0
BlackBerry,BMO,4,type0
BlackBerry,Lookout,-7,type2s
BlackBerry,Scotiabank,7,type1
BlackBerry,Christie Digital Systems,-8,type2s
BlackBerry,Fixmo,1,type0
BlackBerry,Minted,-1,type1s
BlackBerry,PointClickCare,-1,type1s
BlackBerry,Rogers Communications,1,type0
BlackBerry,Kobo Inc.,14,type2
BlackBerry,Wattpad,2,type0
BlackBerry,Citi,3,type0
BlackBerry,Manulife Financial,8,type1
BlackBerry,NVIDIA,-16,type4s
BlackBerry,Oracle,-2,type1s
BlackBerry,Evertz,-4,type1s
BlackBerry,NCR Corporation,3,type0
BlackBerry,Sony,-3,type1s
BlackBerry,Twitter,-3,type1s
BlackBerry,Electronic Arts,-9,type2s
BlackBerry,Coursera,-2,type1s
BlackBerry,Palantir Technologies,-2,type1s
BlackBerry,SMART Technologies,-6,type2s
BlackBerry,TD Securities,-1,type1s
BlackBerry,Trapeze Group,2,type0
BlackBerry,Alcatel-Lucent,-1,type1s
BlackBerry,Ultimate Software,-4,type1s
BlackBerry,Altera,2,type0
BlackBerry,Environment Canada,5,type1
BlackBerry,"Enflick, Inc.",-4,type1s
BlackBerry,Morgan Stanley,-2,type1s
BlackBerry,JSI Telecom,-1,type1s
BlackBerry,Achievers,-15,type3s
BlackBerry,CGI,2,type0
BlackBerry,Cisco Systems,-2,type1s
BlackBerry,Ericsson,-1,type1s
BlackBerry,Kaleidescape,-11,type3s
BlackBerry,Tagged,-2,type1s
BlackBerry,TTC,2,type0
BlackBerry,Symcor,-3,type1s
BlackBerry,Arista Networks,-3,type1s
BlackBerry,Digiflare,-1,type1s
BlackBerry,FreshBooks,-1,type1s
BlackBerry,Kumon,1,type0
BlackBerry,Pinterest,-2,type1s
BlackBerry,SugarCRM,2,type0
BlackBerry,Thalmic Labs,-12,type3s
IBM,BlackBerry,14,type2
IBM,Google,-26,type4s
IBM,Microsoft,-25,type4s
IBM,Amazon,-30,type4s
IBM,Facebook,-30,type4s
IBM,SAP,13,type2
IBM,Desire2Learn,6,type1
IBM,LinkedIn,-2,type1s
IBM,Autodesk,3,type0
IBM,Zynga,6,type1
IBM,Genesys,3,type0
IBM,Apple,-5,type1s
IBM,OANDA,-2,type1s
IBM,Yelp,-3,type1s
IBM,OpenText,8,type1
IBM,CIBC,-1,type1s
IBM,Bloomberg,-7,type2s
IBM,Blue Coat Systems,3,type0
IBM,Sybase,26,type4
IBM,Ontario Teachers' Pension Plan,3,type0
IBM,"Kik Interactive, Inc.",3,type0
IBM,Sun Life Financial,4,type0
IBM,Agriculture and Agri-Food Canada,1,type0
IBM,Sunnybrook Health Sciences Centre,1,type0
