city,date,fahrenheit
Bangkok,1 Jan,80
Beijing,1 Jan,26
Boston,1 Jan,40
BuenosAires,1 Jan,88
London,1 Jan,46
Madrid,1 Jan,34
Montreal,1 Jan,20
Moscow,1 Jan,32
NewDelhi,1 Jan,60
NewYork,1 Jan,44
Paris,1 Jan,28
RiodeJaneiro,1 Jan,89
SanFrancisco,1 Jan,50
Seattle,1 Jan,34
Shanghai,1 Jan,50
Singapore,1 Jan,84
Sydney,1 Jan,75
Tokyo,1 Jan,46
Toronto,1 Jan,34
Vancouver,1 Jan,35
Bangkok,2 Jan,81
Beijing,2 Jan,32
Boston,2 Jan,34
BuenosAires,2 Jan,76
London,2 Jan,38
Madrid,2 Jan,36
Montreal,2 Jan,24
Moscow,2 Jan,32
NewDelhi,2 Jan,62
NewYork,2 Jan,38
Paris,2 Jan,34
RiodeJaneiro,2 Jan,88
SanFrancisco,2 Jan,48
Seattle,2 Jan,32
Shanghai,2 Jan,52
Singapore,2 Jan,82
Sydney,2 Jan,72
Tokyo,2 Jan,46
Toronto,2 Jan,36
Vancouver,2 Jan,32
Bangkok,3 Jan,81
Beijing,3 Jan,32
Boston,3 Jan,42
BuenosAires,3 Jan,76
London,3 Jan,37
Madrid,3 Jan,44
Montreal,3 Jan,26
Moscow,3 Jan,22
NewDelhi,3 Jan,62
NewYork,3 Jan,41
Paris,3 Jan,32
RiodeJaneiro,3 Jan,84
SanFrancisco,3 Jan,52
Seattle,3 Jan,31
Shanghai,3 Jan,50
Singapore,3 Jan,82
Sydney,3 Jan,70
Tokyo,3 Jan,47
Toronto,3 Jan,38
Vancouver,3 Jan,30
Bangkok,4 Jan,80
Beijing,4 Jan,28
Boston,4 Jan,42
BuenosAires,4 Jan,80
London,4 Jan,42
Madrid,4 Jan,44
Montreal,4 Jan,30
Moscow,4 Jan,16
NewDelhi,4 Jan,62
NewYork,4 Jan,44
Paris,4 Jan,38
RiodeJaneiro,4 Jan,86
SanFrancisco,4 Jan,52
Seattle,4 Jan,32
Shanghai,4 Jan,56
Singapore,4 Jan,82
Sydney,4 Jan,72
Tokyo,4 Jan,48
Toronto,4 Jan,28
Vancouver,4 Jan,31
Bangkok,5 Jan,83
Beijing,5 Jan,32
Boston,5 Jan,30
BuenosAires,5 Jan,74
London,5 Jan,38
Madrid,5 Jan,46
Montreal,5 Jan,18
Moscow,5 Jan,10
NewDelhi,5 Jan,64
NewYork,5 Jan,30
Paris,5 Jan,37
RiodeJaneiro,5 Jan,91
SanFrancisco,5 Jan,46
Seattle,5 Jan,28
Shanghai,5 Jan,52
Singapore,5 Jan,84
Sydney,5 Jan,72
Tokyo,5 Jan,45
Toronto,5 Jan,19
Vancouver,5 Jan,32
Bangkok,6 Jan,80
Beijing,6 Jan,32
Boston,6 Jan,28
BuenosAires,6 Jan,75
London,6 Jan,39
Madrid,6 Jan,42
Montreal,6 Jan,12
Moscow,6 Jan,-9
NewDelhi,6 Jan,64
NewYork,6 Jan,29
Paris,6 Jan,30
RiodeJaneiro,6 Jan,86
SanFrancisco,6 Jan,44
Seattle,6 Jan,30
Shanghai,6 Jan,54
Singapore,6 Jan,86
Sydney,6 Jan,72
Tokyo,6 Jan,40
Toronto,6 Jan,16
Vancouver,6 Jan,35
Bangkok,7 Jan,82
Beijing,7 Jan,34
Boston,7 Jan,20
BuenosAires,7 Jan,81
London,7 Jan,48
