target,source,value,type
BlackBerry,IBM,-14,type3s
BlackBerry,Google,-44,type5s
BlackBerry,Microsoft,-70,type5s
BlackBerry,Amazon,-49,type5s
BlackBerry,Facebook,-42,type5s
BlackBerry,SAP,-2,type1s
BlackBerry,Desire2Learn,-8,type2s
BlackBerry,Pivotal Labs,4,type2
BlackBerry,NexJ Systems,1,type0
BlackBerry,TD,-2,type1s
BlackBerry,LinkedIn,-19,type4s
BlackBerry,Autodesk,-2,type1s
BlackBerry,Zynga,-2,type1s
BlackBerry,Genesys,-4,type2s
BlackBerry,Apple,-10,type3s
BlackBerry,OANDA,-4,type2s
BlackBerry,Yelp,-4,type2s
BlackBerry,OpenText,-23,type5s
BlackBerry,CIBC,-3,type1s
BlackBerry,Bloomberg,-4,type2s
BlackBerry,Sybase,-4,type2s
BlackBerry,Ontario Teachers' Pension Plan,5,type2
BlackBerry,"Kik Interactive, Inc.",3,type1
BlackBerry,Sun Life Financial,2,type1
BlackBerry,Agriculture and Agri-Food Canada,1,type0
BlackBerry,Sunnybrook Health Sciences Centre,1,type0
BlackBerry,BMO,4,type2
BlackBerry,Lookout,-7,type2s
BlackBerry,Scotiabank,7,type2
BlackBerry,Christie Digital Systems,-8,type2s
BlackBerry,Fixmo,1,type0
BlackBerry,Minted,-1,type0
BlackBerry,PointClickCare,-1,type0
BlackBerry,Rogers Communications,1,type0
BlackBerry,Kobo Inc.,14,type3
BlackBerry,Wattpad,2,type1
BlackBerry,Citi,3,type1
BlackBerry,Manulife Financial,8,type2
BlackBerry,NVIDIA,-16,type4s
BlackBerry,Oracle,-2,type1s
BlackBerry,Evertz,-4,type2s
BlackBerry,NCR Corporation,3,type1
BlackBerry,Sony,-3,type1s
BlackBerry,Twitter,-3,type1s
BlackBerry,Electronic Arts,-9,type3s
BlackBerry,Coursera,-2,type1s
BlackBerry,Palantir Technologies,-2,type1s
BlackBerry,SMART Technologies,-6,type2s
BlackBerry,TD Securities,-1,type0
BlackBerry,Trapeze Group,2,type1
BlackBerry,Alcatel-Lucent,-1,type0
BlackBerry,Ultimate Software,-4,type2s
BlackBerry,Altera,2,type1
BlackBerry,Environment Canada,5,type2
BlackBerry,"Enflick, Inc.",-4,type2s
BlackBerry,Morgan Stanley,-2,type1s
BlackBerry,JSI Telecom,-1,type0
BlackBerry,Achievers,-15,type3s
BlackBerry,CGI,2,type1
BlackBerry,Cisco Systems,-2,type1s
BlackBerry,Ericsson,-1,type0
BlackBerry,Kaleidescape,-11,type3s
BlackBerry,Tagged,-2,type1s
BlackBerry,TTC,2,type1
BlackBerry,Symcor,-3,type1s
